month,index_level,max_12,ML,mean_12,std_12,CCt
96,6254.07,6668.43,0.9378624353858404,0.9789797140695101,0.06428197588137029,0
97,6485.71,6668.43,0.9725992474990365,0.9814055404283205,0.06189584561131625,0
98,6728.99,6668.43,1.0090815979173509,0.9806115472007088,0.06194683768563253,0
99,6808.18,6728.99,1.0117684823428181,0.9820554932500366,0.062430238882175484,0
100,6767.32,6808.18,0.9939983960471079,0.9767207224910447,0.056107744413436966,0
101,7255.34,6808.18,1.0656798145759954,0.9660568954593657,0.033665571290286446,0
102,7103.61,7255.34,0.9790871275501906,0.970406043486182,0.04254935050089546,0
103,7022.5,7255.34,0.9679077755143108,0.9746108559878944,0.04048885989606621,0
104,7252.76,7255.34,0.9996443998489388,0.9788965380184084,0.03627935554063498,0
105,7359.4,7255.34,1.014342539426133,0.9832093810874749,0.035321879081516856,0
106,6580.53,7359.4,0.894166644019893,0.9881700967305052,0.03515117391372987,1
107,6853.31,7359.4,0.9312321656656793,0.983378210109286,0.04350595458422042,0
108,6324.96,7359.4,0.8594396282305623,0.9814475521494415,0.045382411972841465,1
109,5627.9,7359.4,0.7647226676087724,0.9749123182198348,0.05651142779580219,1
110,6026.24,7359.4,0.8188493627197869,0.9575892698956462,0.08295795160290913,1
111,6454.08,7359.4,0.8769845367828899,0.9417365836291824,0.09009280524768627,0
112,6294.11,7359.4,0.8552477104111749,0.930504588165855,0.08896287131549055,0
113,6155.75,7359.4,0.8364472647226676,0.9189420310295273,0.08897708513963944,0
114,5714.06,7359.4,0.7764301437617198,0.89983931854175,0.07861331389356975,1
115,5807.11,7359.4,0.7890738375411039,0.8829512365593776,0.08174667397479067,0
116,6156.15,7359.4,0.8365016169796451,0.8680484083949436,0.08114965235628172,0
117,5864.47,7359.4,0.7968679511916733,0.854453176489169,0.06999847918346515,0
