index_level,diff,is_rising,pli
6804.54,55.89000000000033,1,0.6
6925.12,-7.289999999999964,0,0.6
6985.75,-40.80000000000018,0,0.6
6767.32,8.429999999999382,1,0.4
6938.87,27.039999999999964,1,0.6
7088.89,-6.309999999999491,0,0.8
6920.02,-27.039999999999964,0,0.4
7180.11,61.26999999999953,1,0.8
7278.68,-28.329999999999927,0,0.6
7607.67,-9.779999999999745,0,0.8
7395.56,-51.3799999999992,0,0.4
7380.38,-122.46000000000004,0,0.6666666666666666
7103.61,93.38999999999942,1,0.5
7091.34,-12.269999999999527,0,0.0
7024.16,15.829999999999927,1,0.6
7026.07,-72.18000000000029,0,0.4
7022.5,72.22000000000025,1,0.4
6991.91,-81.94000000000051,0,0.6
7156.61,36.75,1,0.8
7169.88,85.19999999999982,1,0.4
7219.86,-13.680000000000291,0,0.4
7301.92,71.93000000000029,1,0.8
7306.65,-13.670000000000073,0,0.4
7314.56,-66.4399999999996,0,0.4
7278.76,-58.42999999999938,0,0.6
7359.4,48.4399999999996,1,0.6
7175.68,-54.279999999999745,0,0.25
7081.14,-16.61999999999989,0,0.4
6976.62,-80.17000000000007,0,0.4
6580.53,-25.390000000000327,0,0.4
6745.02,-95.46999999999935,0,0.6
6835.02,66.23000000000047,1,0.6
6819.43,54.55000000000018,1,0.6
6803.83,-55.720000000000255,0,0.6
6474.13,59.19000000000051,1,0.4
6332.22,64.69999999999982,1,0.6
6268.24,-75.88000000000011,0,0.4
6364.52,39.5600000000004,1,0.6
6224.12,2.5299999999997453,1,0.3333333333333333
6070.75,-55.73999999999978,0,0.4
5740.98,-18.82000000000062,0,0.4
5627.9,209.13999999999942,1,0.4
5563.77,-122.92999999999938,0,0.5
5796.8,53.69999999999982,1,1.0
5929.49,91.07999999999993,1,0.6
5899.92,-11.640000000000327,0,0.6
6078.43,54.789999999999964,1,0.75
6240.1,109.41000000000076,1,0.6
6316.31,51.49000000000069,1,0.6
6368.28,67.80999999999949,1,0.6
